Applied Force,Fiber Diameter,Volume Fraction,Fiber E1,Fiber E2,Fiber nu12,Fiber nu23,Fiber G12,Matrix E,Matrix nu
0.02,0.0071,0.5663671875,210527.929688,14051.953125,0.31060546875,0.28681640625,21628.90625,3945.83984375,0.36716015625
0.02,0.0071,0.6001171875,210527.929688,14051.953125,0.31060546875,0.28681640625,21628.90625,3945.83984375,0.36716015625
0.02,0.0071,0.5663671875,209275.585938,14051.953125,0.31060546875,0.28681640625,21628.90625,3945.83984375,0.36716015625
0.02,0.0071,0.5663671875,210527.929688,12837.890625,0.31060546875,0.28681640625,21628.90625,3945.83984375,0.36716015625
0.02,0.0071,0.5663671875,210527.929688,14051.953125,0.28529296875,0.28681640625,21628.90625,3945.83984375,0.36716015625
0.02,0.0071,0.5663671875,210527.929688,14051.953125,0.31060546875,0.27966796875,21628.90625,3945.83984375,0.36716015625
0.02,0.0071,0.5663671875,210527.929688,14051.953125,0.31060546875,0.28681640625,19535.15625,3945.83984375,0.36716015625
0.02,0.0071,0.5663671875,210527.929688,14051.953125,0.31060546875,0.28681640625,21628.90625,4030.60546875,0.36716015625
0.02,0.0071,0.5663671875,210527.929688,14051.953125,0.31060546875,0.28681640625,21628.90625,3945.83984375,0.33116796875
0.02,0.0071,0.6001171875,209275.585938,12837.890625,0.28529296875,0.27966796875,19535.15625,4030.60546875,0.33116796875
